ym,n,tight,stress,recov,rat
2020-08,40,10.0,60.0,70.0,"기재부 차관 '6월 경제지표 개선조짐 뚜렷…3분기 반등 가능성' 및 홍 부총리 '코로나 진정세 이어간다면 3분기 상당부분 반등 가능' 등 경기 회복 기대감이 높지만, '쏟아지는 공장 경매…불 꺼지는 공단'과 'CGV"
2020-09,40,10.0,70.0,30.0,"코로나19 확진자 증가, 사회적 거리두기 2단계 상향, 2차 재난지원금 논의, 소상공인 대출 금리 인하, 가계빚 사상 최대 등 전반적으로 거시 경제의 불안정성과 코로나19로 인한 경기 침체 우려가 높다. 다만, 농산"
2020-10,37,0.0,60.0,40.0,"코로나19 신규확진이 38명으로 49일만에 50명 아래로 떨어졌다는 소식과 PGA투어에 갤러리 입장이 허용된다는 소식은 회복 기대를 높이지만, 신규확진이 다시 114명으로 사흘째 세자릿수를 기록하며 추석연휴 확산세 "
2020-11,29,20.0,60.0,50.0,"macro_tightening은 '저축銀 고금리 특판 봇물'에서 일부 긴축 신호가 보이나, 전반적으로는 '금융지주 배당 확대 고민 VS 당국 배당 자제'와 '5년 뒤로 미룬 재정준칙' 등 완화적 기조가 우세하여 낮게"
2020-12,28,10.0,60.0,70.0,"코로나 백신 개발 기대감, 미국의 정권 교체, 증시의 무서운 상승세가 코로나 확진자 급증이라는 뉴스와 뒤섞여 있으며, 애널리스트들은 미국 경제가 올해 4분기에 4% 성장할 것이라는 예측을 내놓고 있고, 억만장자 투자"
2021-01,40,10.0,60.0,40.0,"macro_tightening은 '한은, 내년 통화정책 '완화 기조' 유지…저금리 계속된다'에서 완화 기조를 유지한다고 밝혀 낮게 평가했습니다. macro_stress는 '""내년 1월 경기도 불확실"" 코로나 3차 유"
2021-02,40,20.0,40.0,60.0,"macro_tightening은 '카카오뱅크, 예·적금 금리 0.2%p 인상'에서 금리 인상 신호가 보이나, 다른 긴축 신호는 미미하다. macro_stress는 '베트남 증시 역사상 최대 하락폭', '화요일의 대폭"
2021-03,40,60.0,40.0,70.0,"물가상승 기대감 7년만에 최고, 국제유가 급등, 구리 가격 10년만에 최고치 등 인플레이션 및 원자재 가격 상승 신호가 강하며, 바이든 부양책 지지 및 베트남 증시 반등 등 경기 회복 기대감도 높다. 다만 비트코인 "
2021-04,40,70.0,60.0,50.0,"월가 강세론자 야데니 '10년만기 美국채 수익률 18개월내 3%까지 뛸 것' 및 '헤지펀드 전설' 레이 달리오 '美연준, 예상보다 빨리 금리 올릴 것' 등의 헤드라인에서 인플레이션 압력과 금리 인상 가능성이 언급되어"
2021-05,40,70.0,60.0,65.0,"3월 은행 가계대출 금리 상승…주담대 '7개월 연속 오름세'와 파월 美 연준의장 '금리 정상화 한참 전에 양적완화 축소할 것' 발언은 통화긴축 신호가 강하며, 벤츠도 못 피한 반도체 대란…다임러 獨 공장 2곳 '생산"
2021-06,40,70.0,30.0,60.0,"경기 반등에…국고채 장단기 금리차 10년來 최대로 벌어졌다'와 '넘치는 유동성에 물가상승 압력美 4월 소비자물가 13년래 최고' 헤드라인은 통화긴축 신호가 강함을 나타내며, '4대 그룹, 美서 44조원 투자 보따리 "
2021-07,40,70.0,40.0,60.0,macro_tightening은 '빨라지는 美 금리인상…2023년으로 1년 앞당겼다'와 '이주열 한국은행 총재는 지난 11일 “통화정책 완화 정도의 조정 시기와 속도를 판단하는 것을 하반기 이후 역점을 두고 추진하겠
2021-08,36,,,,ERR AttributeError
2021-09,40,70.0,50.0,40.0,"macro_tightening은 'CNBC ""한국 선진국 중 최초 금리인상""…'선진국'에 방점' 헤드라인에서 한국이 선진국 중 최초로 금리인상을 단행했음을 명확히 언급하여 강한 긴축 신호를 보여준다. macro_st"
2021-10,37,80.0,70.0,30.0,"통화긴축 신호는 '미국 금리인상을 펀더멘털 정상화 과정의 하나로 보고', '하반기 대출 금리 계속 오른다…테이퍼링·금리↑영향' 등에서 강하게 나타나며, 거시 위험은 '흔들리는 증시 속', '글로벌 증시가 출렁거렸다'"
2021-11,40,80.0,70.0,40.0,"연일 오르는 시장 금리…영끌·빚투 대출자들 속탄다 [왕개미 연구소], 美 연준의장 '원자재난·인플레이션 내년에도 계속될 것' 발언은 통화긴축 신호가 강하며, 흔들리는 세계의 공장…중국 성장률 5% 무너졌다, 日 주요"
2021-12,33,,,,ERR AttributeError
2022-01,40,20.0,60.0,30.0,"미국 상무부가 한국산 철강후판에 상계관세를 부과하고, 중국이 희토류 공룡 기업을 세워 세계 수출시장 통제를 강화하는 등 무역 갈등 및 공급망 불안정 신호가 있다. 또한, '코스피 그래프에서 잠자는 산타… 사라진 산타"
2022-02,32,80.0,70.0,30.0,"파월 '美, 더이상 코로나 부양 필요없다'며 금리 인상 의지를 재확인했고, '파월 피벗'이라는 월가 유행어가 등장하며 인플레이션 우려가 커지고 있다. '지옥문이 열렸다' 끝없는 악재 뉴스에 개미군단 비명'이라는 헤드"
2022-03,40,80.0,70.0,30.0,[경제포커스] 서민 고통에 빠뜨릴 '新3高' 임박했다 - 40년 만에 7% 넘는 물가에 미국이 깜짝 놀랐다. 제롬 파월 미 연준 의장은 금리를 빠르게 올려 인플레를 잡을 태세다. '갑툭튀(갑자기 툭 튀어 나온)' 인
2022-04,40,80.0,70.0,20.0,"물가·금리·환율 안정이 최우선이다, 유가 폭등에 인플레 악화…美 주정부들 유류세 면제하고 보조금, 제재국도 출혈감수한다…美, 러 석유 금수 검토, 유가 140달러 근접 등의 헤드라인에서 통화긴축 및 거시 위험 신호가"
2022-05,40,90.0,85.0,10.0,"美 3월 물가상승률 8.5% 쇼크…큰 폭 금리인상 등 초긴축 예고, 美 1분기 성장률 -1.4% '곤두박질', [朝鮮칼럼 The Column] 새 정부 최대의 敵은 인플레이션, 베이징 봉쇄 공포…中 상하이 증시 5%"
2022-06,40,80.0,70.0,10.0,"EU의 '러 원유 수입 90% 감축'은 지정학적 긴장을 높이고, '美 22년만에 금리 인상 '빅스텝''과 '인플레이션 우려와 금리 인상, 우크라이나 전쟁 영향 등으로 투자금이 줄면서 세계 스타트업에 찬바람이 불고 있"
2022-07,40,90.0,85.0,10.0,"美 28년만에 '자이언트 스텝'…파월 '인플레 끌어내리기 총력', [경제포커스] 대통령 '인생 책'이 말하는 인플레 해법, [강헌의 히스토리 인 팝스] [115] 인플레이션 등 통화긴축과 물가급등 관련 헤드라인이 다"
2022-08,40,90.0,85.0,10.0,"미국 6월 소비자물가가 41년 만에 최고치인 9.1%로 치솟았고, 한국은행이 사상 처음으로 한 번에 금리를 0.5%포인트 올리는 ‘빅스텝’을 단행했으며, 미국 빅테크 기업들의 실적 악화와 채용 및 비용 지출 축소 소"
2022-09,34,80.0,70.0,20.0,"macro_tightening은 '최근 금리 인상 여파로 집값이 하락세로 돌아섰지만, 서울에서 중산층 가구가 대출받아 살 수 있는 아파트는 2.8%에 불과한 것으로 나타났다'와 '은행의 '과도한 이자 장사'를 경고했"
2022-10,32,90.0,85.0,10.0,"헤드라인에서 '환율, 물가, 금리까지 경제는', '인플레이션과 가파른 금리 인상 등 거시경제 위기로 스타트업 업계의 투자금이 말라붙으면서', '제롬 파월 미 연준 의장이 최근 잭슨홀 연설에서 던진 메시지는 단순하다."
2022-11,40,,,,ERR AttributeError
2022-12,40,,,,ERR AttributeError
2023-01,33,80.0,90.0,10.0,"뉴스 헤드라인에서 '미국발 고금리 영향', '금리 인상, 수요 둔화에 따른 전 세계적 경기 침체가 우려', '돈이 귀한 시대가 성큼 왔다' 등의 표현으로 통화 긴축과 그로 인한 경기 침체 우려가 강하게 나타나고 있으"
2023-02,25,70.0,80.0,20.0,"뉴스 헤드라인에서 '인플레 재발이 더 무섭다', '기조적 인플레이션이 여전히 심각합니다. 쉽게 사라지지 않을 겁니다.', '고금리 탓에 중고차를 할부로 사기 부담스러운 상황', '지난 한 해 지속돼 온 그리고 당분간"
2023-03,30,70.0,80.0,20.0,"뉴스 헤드라인에 '기준금리보다 대출 금리 더 올려, '이자 바가지' 씌운 은행들', '고물가·경기침체에 고용 한파, 기업 투자 활성화 외 답 없다', '경기 침체 속 공공요금 동시 인상, 경제에 악순환 만들 수도' "
2023-04,37,70.0,80.0,20.0,"뉴스 헤드라인에 '미·유럽 잇단 은행 위기, 우리도 '충당금 방파제' 미리 더 쌓아야', '소상공인과 자영업자들이 고금리와 대출 부담, 공공 요금 상승 등으로 어려움에 직면', '경기 침체 우려가 커지면서 기업들의 "
2023-05,30,70.0,80.0,30.0,"macro_tightening은 '고금리·고물가·고환율이 한꺼번에 닥친 삼중고'와 '금리 인상에 환율도 오른다고 해서 급락할 줄 알았는데'에서 강한 신호가 보이며, macro_stress는 '경기침체로 벼랑끝 몰린 "
2023-06,40,20.0,70.0,30.0,"macro_stress는 '[사설] 올 성장률 1%도 위험, 기업이 신나서 뛰게 하는 수밖에 없다'에서 '우리나라 3월 수출이 6개월째 감소세를 보이면서 무역수지가 13개월째 적자를 기록했다'는 내용과 '[사설] 나"
2023-07,40,30.0,70.0,40.0,"통화긴축 신호는 직접적으로 언급되지 않았으나, '장사 안되는데 이자 급등, 걱정 커지는 자영업 대량 파산 사태'에서 이자 급등으로 인한 자영업자들의 어려움이 나타나 간접적인 긴축의 영향이 감지된다. 거시 위험·불안은"
2023-08,40,40.0,60.0,30.0,"macro_tightening은 '8월 국제선 유류할증료, 인상 전에 발권하세요'에서 유가 상승으로 인한 인상 요인이 보이지만, '시중 금리가 안정화 국면에 들어서고'라는 언급도 있어 혼재된 신호로 판단. macro"
2023-09,40,,,,ERR AttributeError
2023-10,40,70.0,60.0,30.0,"금리 인상에 따른 소비 감소 영향이 고령층보다 청년이 8배 더 높고, 청년들 사이에서도 부채가 많은 이들의 소비 감소가 부채 없는 이들보다 11배나 높다는 헤드라인과 '가계부채 현황 점검회의' 개최 소식은 통화 긴축"
2023-11,40,60.0,70.0,20.0,"한국은행 총재가 금통위에서 '논의할 내용 많다'고 언급하고, '고금리 길어지며 녹색채권 부진'이라는 기사가 있어 통화긴축 기조가 유지될 가능성이 높으며, '외국인력 이탈 방지책 '여전히 미흡'', 'SK하이닉스 반대"
2023-12,40,60.0,70.0,30.0,"시중금리가 고점에 이르렀다는 분위기가 형성되면서 채권투자에 관심이 높아지고 있으나, 뉴욕 증시는 연준 이사들 연설을 기다리며 하락 출발했고, 고금리에 자영업자와 서민 자금난이 심해지면서 카드 돌려막기로 버티는 신용 "
